	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60
OTU1	3	0	0	0	1	0	5	2	0	1	1	3	0	0	0	0	1	2	0	0	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	1	4	3	2	1	0	0	0	0	0	0	2	0
OTU2	1	2	0	0	0	0	2	2	2	1	3	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	3	1	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	1	0	0	0
OTU3	5	0	4	0	1	3	0	1	1	2	2	1	2	0	1	0	1	1	3	2	1	2	0	0	0	1	1	2	2	1	1	4	0	2	1	0	0	2	0	0	0	1	2	1	2	3	0	1	0	1	4	1	1	2	2	0	0	4	2	0
OTU4	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	4	0	0	0
OTU6	6	2	4	2	0	3	2	0	1	2	3	2	3	2	2	0	2	0	3	3	3	2	1	1	3	2	3	1	2	1	2	3	1	1	3	1	1	3	3	5	0	4	4	3	2	4	0	2	1	1	5	2	5	1	1	2	0	1	0	0
OTU7	2	0	0	0	0	0	1	0	2	1	3	0	0	0	0	0	1	2	0	0	1	0	4	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	0	1	1	0	0	0	1	2	1	1	2	0	0	0	3	1	5	0	2	2
OTU8	1	1	1	1	0	1	0	0	0	2	2	1	1	2	2	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	2	2	1	0	1	0	0	2	0	1	1	2	0	1	2	0	0	1	0	0	0	1	2	0	2	0	1	1	0	0
OTU9	2	0	3	3	2	3	1	0	2	2	0	1	3	3	2	1	2	2	3	2	2	1	0	1	3	3	3	1	4	1	1	2	2	2	2	2	2	5	0	2	1	3	1	1	1	2	0	1	1	2	0	3	1	0	2	0	1	2	0	0
OTU10	2	2	1	2	0	2	0	2	2	0	0	0	0	1	0	2	0	0	1	2	2	1	1	0	3	2	1	2	1	0	1	0	1	0	1	3	3	2	0	2	2	0	0	2	0	3	0	1	0	0	0	2	0	3	0	2	1	1	3	0
OTU11	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU12	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU16	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU18	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
OTU19	0	2	0	0	0	0	0	2	3	1	0	1	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	0	0	1	0	0	1	0
OTU20	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU22	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU23	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4
OTU24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU28	0	0	0	1	0	1	1	0	0	1	0	1	0	1	2	1	0	1	0	0	0	2	0	0	0	0	1	0	2	1	1	0	0	1	2	1	0	0	0	0	3	1	2	2	2	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0
OTU29	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
